x,y,measurement,status
-140,-10,195.2,Pass
-140,0,196.8,Pass
-140,10,194.5,Pass
-130,-30,197.1,Pass
-130,-20,198.4,Pass
-130,-10,199.0,Pass
-130,0,200.1,Pass
-130,10,198.7,Pass
-130,20,197.5,Pass
-130,30,196.3,Pass
-120,-50,194.8,Pass
-120,-40,196.2,Pass
-120,-30,197.9,Pass
-120,-20,199.3,Pass
-120,-10,200.5,Pass
-120,0,201.2,Pass
-120,10,200.8,Pass
-120,20,199.6,Pass
-120,30,197.4,Pass
-120,40,195.9,Pass
-120,50,194.1,Pass
-110,-60,193.5,Pass
-110,-50,195.8,Pass
-110,-40,197.6,Pass
-110,-30,199.2,Pass
-110,-20,200.8,Pass
-110,-10,202.1,Pass
-110,0,202.5,Pass
-110,10,201.9,Pass
-110,20,200.4,Pass
-110,30,198.7,Pass
-110,40,196.3,Pass
-110,50,194.5,Pass
-110,60,192.8,Pass
-100,-70,192.1,Pass
-100,-60,194.4,Pass
-100,-50,196.7,Pass
-100,-40,198.5,Pass
-100,-30,200.3,Pass
-100,-20,201.9,Pass
-100,-10,203.2,Pass
-100,0,203.7,Pass
-100,10,202.8,Pass
-100,20,201.5,Pass
-100,30,199.8,Pass
-100,40,197.2,Pass
-100,50,195.1,Pass
-100,60,193.0,Pass
-100,70,191.4,Pass
-90,-80,190.8,Pass
-90,-70,193.2,Pass
-90,-60,195.5,Pass
-90,-50,197.8,Pass
-90,-40,199.6,Pass
-90,-30,201.4,Pass
-90,-20,202.9,Pass
-90,-10,204.1,Pass
-90,0,204.6,Pass
-90,10,203.9,Pass
-90,20,202.5,Pass
-90,30,200.9,Pass
-90,40,198.4,Pass
-90,50,196.0,Pass
-90,60,193.8,Pass
-90,70,191.5,Pass
-90,80,189.2,Pass
-80,-90,189.5,Pass
-80,-80,192.0,Pass
-80,-70,194.3,Pass
-80,-60,196.6,Pass
-80,-50,198.8,Pass
-80,-40,200.5,Pass
-80,-30,202.2,Pass
-80,-20,203.7,Pass
-80,-10,205.0,Pass
-80,0,205.4,Pass
-80,10,204.7,Pass
-80,20,203.3,Pass
-80,30,201.6,Pass
-80,40,199.2,Pass
-80,50,196.8,Pass
-80,60,194.2,Pass
-80,70,191.8,Pass
-80,80,189.3,Pass
-80,90,186.9,Pass
-70,-100,183.2,Fail
-70,-90,188.7,Pass
-70,-80,191.2,Pass
-70,-70,193.5,Pass
-70,-60,195.8,Pass
-70,-50,197.9,Pass
-70,-40,199.7,Pass
-70,-30,201.4,Pass
